Name,Team,Season,Pos,Salary,Age,Height (cm),Weight (kg),GP,PTS,REB,AST,+/-,ORB%,DRB%,USG%,TS%,AST%,W-L,W-L%,TG
Antoine Walker,BOS,2000, PF,9000000,23,205.74,111.13004,82,20.5,8,3.7,-0.2,0.071,0.18,0.283,0.494,0.178,35-47,0.427,82
Calbert Cheaney,BOS,2000, SG,2000000,28,200.66,97.52228,67,4,2.1,1.2,-3.7,0.019,0.109,0.112,0.473,0.093,35-47,0.427,82
Kenny Thomas,HOU,2000, PF,823000,22,203.2,117.93392,72,8.3,6.1,1.6,0.9,0.094,0.178,0.18,0.477,0.099,34-48,0.415,82
Steve Francis,HOU,2000, PG,3020000,23,190.5,87.543256,77,18,5.3,6.6,-3.7,0.062,0.102,0.249,0.543,0.315,34-48,0.415,82
Walt Williams,HOU,2000, F,3750000,30,203.2,104.32616,76,10.9,4,2.1,1.6,0.042,0.141,0.201,0.562,0.138,34-48,0.415,82
Shandon Anderson,HOU,2000, SF,2000000,26,198.12,95.25432,82,12.3,4.7,2.9,-2.3,0.039,0.119,0.176,0.567,0.139,34-48,0.415,82
Kerry Kittles,NJN,2000, SG,7166000,26,195.58,81.64656,62,13,3.6,2.3,1,0.027,0.107,0.19,0.535,0.122,31-51,0.378,82
Jim McIlvaine,NJN,2000, C,4800000,27,215.9,119.748288,66,2.4,3.5,0.5,-0.5,0.109,0.131,0.092,0.439,0.048,31-51,0.378,82
Lucious Harris,NJN,2000, SG,1920000,29,195.58,92.98636,77,6.7,2.4,1.3,-0.3,0.038,0.103,0.164,0.506,0.11,31-51,0.378,82
Stephon Marbury,NJN,2000, PG,9000000,23,187.96,81.64656,74,22.2,3.2,8.4,0,0.022,0.071,0.277,0.528,0.38,31-51,0.378,82
Jamie Feick,NJN,2000, F,2000000,25,203.2,115.66596,81,5.7,9.3,0.8,-1.1,0.126,0.256,0.107,0.477,0.046,31-51,0.378,82
Kevin Garnett,MIN,2000, PF,16806000,24,210.82,99.79024,81,22.9,11.8,5,5.7,0.08,0.267,0.276,0.545,0.211,50-32,0.61,82
Terrell Brandon,MIN,2000, PG,7400000,30,180.34,78.471416,71,17.1,3.4,8.9,6.9,0.02,0.088,0.229,0.535,0.375,50-32,0.61,82
Wally Szczerbiak,MIN,2000, SG,2011000,23,200.66,110.222856,73,11.6,3.7,2.8,5,0.048,0.1,0.171,0.571,0.136,50-32,0.61,82
Rasho Nesterovic,MIN,2000, C,1050000,24,213.36,112.490816,82,5.7,4.6,1.1,5,0.089,0.164,0.145,0.492,0.075,50-32,0.61,82
Dean Garrett,MIN,2000, C,2520000,33,210.82,113.398,56,2,2.5,0.3,3.1,0.077,0.183,0.105,0.477,0.043,50-32,0.61,82
Anthony Peeler,MIN,2000, SG,2495000,30,193.04,94.347136,82,9.8,2.8,2.4,-1.4,0.032,0.099,0.186,0.52,0.152,50-32,0.61,82
John Wallace,NYK,2000, SF,2000000,26,205.74,102.0582,60,6.5,2.3,0.4,-6,0.064,0.137,0.26,0.52,0.055,50-32,0.61,82
Marcus Camby,NYK,2000, C,5250000,26,210.82,102.0582,59,10.2,7.8,0.8,4.8,0.136,0.209,0.193,0.529,0.053,50-32,0.61,82
Larry Johnson,NYK,2000, F,11910000,31,200.66,106.59412,70,10.7,5.4,2.5,2,0.046,0.151,0.173,0.517,0.127,50-32,0.61,82
Charlie Ward,NYK,2000, PG,4540000,29,187.96,86.18248,72,7.3,3.2,4.2,4.4,0.014,0.117,0.135,0.559,0.224,50-32,0.61,82
Chris Childs,NYK,2000, G,4160000,32,190.5,88.45044,71,5.3,2.1,4,-0.8,0.012,0.092,0.14,0.491,0.284,50-32,0.61,82
Chris Dudley,NYK,2000, C,7100000,35,210.82,117.93392,47,1.2,2.9,0.1,-9.1,0.161,0.19,0.096,0.349,0.017,50-32,0.61,82
Malik Rose,SAS,2000, PF,2285000,25,200.66,115.66596,74,6.7,4.5,0.6,4.1,0.115,0.162,0.194,0.525,0.061,53-29,0.646,82
Terry Porter,SAS,2000, G,2000000,37,190.5,92.98636,68,9.4,2.8,3.3,13,0.018,0.111,0.183,0.596,0.227,53-29,0.646,82
Steve Kerr,SAS,2000, G,1968000,34,190.5,81.64656,32,2.8,0.6,0.4,0.8,0.012,0.062,0.144,0.564,0.078,53-29,0.646,82
Luc Longley,PHX,2000, C,5175000,31,218.44,117.93392,72,6.3,4.5,1.1,0.5,0.078,0.171,0.182,0.512,0.086,53-29,0.646,82
Tom Gugliotta,PHX,2000, PF,8558000,30,208.28,108.86208,54,13.7,7.9,2.3,7.3,0.092,0.18,0.205,0.519,0.113,53-29,0.646,82
Shawn Marion,PHX,2000, SG,1546000,22,200.66,97.52228,51,10.2,6.5,1.4,5.5,0.094,0.195,0.194,0.511,0.089,53-29,0.646,82
Rodney Rogers,PHX,2000, SF,2000000,29,200.66,115.66596,82,13.8,5.5,2.1,9.6,0.07,0.146,0.222,0.57,0.128,53-29,0.646,82
