,season,team,record,pct
1296,2017,Raptors,28-16,0.636
1297,2016,Raptors,56-26,0.683
1298,2015,Raptors,49-33,0.598
1299,2014,Raptors,48-34,0.585
1300,2013,Raptors,34-48,0.415
1301,2012,Raptors,23-43,0.348
1302,2011,Raptors,22-60,0.268
1303,2010,Raptors,40-42,0.488
1304,2009,Raptors,33-49,0.402
1305,2008,Raptors,41-41,0.5
1306,2007,Raptors,47-35,0.573
1307,2006,Raptors,27-55,0.329
1308,2005,Raptors,33-49,0.402
1309,2004,Raptors,33-49,0.402
1310,2003,Raptors,24-58,0.293
1311,2002,Raptors,42-40,0.512
1312,2001,Raptors,47-35,0.573
1313,2000,Raptors,45-37,0.549
1318,2017,Jazz,29-16,0.644
1319,2016,Jazz,40-42,0.488
1320,2015,Jazz,38-44,0.463
1321,2014,Jazz,25-57,0.305
1322,2013,Jazz,43-39,0.524
1323,2012,Jazz,36-30,0.545
1324,2011,Jazz,39-43,0.476
1325,2010,Jazz,53-29,0.646
1326,2009,Jazz,48-34,0.585
1327,2008,Jazz,54-28,0.659
1328,2007,Jazz,51-31,0.622
1329,2006,Jazz,41-41,0.5
1330,2005,Jazz,26-56,0.317
1331,2004,Jazz,42-40,0.512
1332,2003,Jazz,47-35,0.573
1333,2002,Jazz,44-38,0.537
1334,2001,Jazz,53-29,0.646
1335,2000,Jazz,55-27,0.671
1361,2017,Wizards,23-20,0.535
1362,2016,Wizards,41-41,0.5
1363,2015,Wizards,46-36,0.561
1364,2014,Wizards,44-38,0.537
1365,2013,Wizards,29-53,0.354
1366,2012,Wizards,20-46,0.303
1367,2011,Wizards,23-59,0.28
1368,2010,Wizards,26-56,0.317
1369,2009,Wizards,19-63,0.232
1370,2008,Wizards,43-39,0.524
1371,2007,Wizards,41-41,0.5
1372,2006,Wizards,42-40,0.512
1373,2005,Wizards,45-37,0.549
1374,2004,Wizards,25-57,0.305
1375,2003,Wizards,37-45,0.451
1376,2002,Wizards,37-45,0.451
1377,2001,Wizards,19-63,0.232
1378,2000,Wizards,29-53,0.354
