,player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,position,salary
107,Jamal Mashburn,MIA,27.0,203.2,109.315672,76,17.5,5.0,3.9,6.6,0.0279999999999999,0.125,0.238,0.526,0.178,2000, SF,5600000
108,James Posey,DEN,23.0,203.2,97.52228,81,8.2,3.9,1.8,-1.6,0.045,0.125,0.148,0.55,0.106,2000, SF,974000
109,Jamie Feick,NJN,25.0,203.2,115.66596,81,5.7,9.3,0.8,-1.1,0.126,0.256,0.107,0.477,0.046,2000, F,2000000
110,Jason Caffey,GSW,27.0,203.2,116.119552,71,12.0,6.8,1.7,-10.1,0.088,0.156,0.195,0.515,0.09,2000, F,3937000
111,Jason Kidd,PHX,27.0,193.04,96.161504,67,14.3,7.2,10.1,5.8,0.0409999999999999,0.1639999999999999,0.1989999999999999,0.498,0.395,2000, PG,6858000
112,Jason Terry,ATL,22.0,187.96,78.017824,81,8.1,2.0,4.3,-7.0,0.0139999999999999,0.083,0.191,0.497,0.3,2000, G,1468000
113,Jeff Foster,IND,23.0,210.82,107.954896,19,2.3,1.7,0.3,-6.3,0.15,0.247,0.1669999999999999,0.632,0.088,2000, PF,857000
114,Greg Ostertag,UTA,27.0,218.44,127.00576,81,4.5,6.0,0.2,4.6,0.1369999999999999,0.22,0.125,0.525,0.018,2000, C,5200000
115,Greg Foster,SEA,31.0,210.82,113.398,60,3.4,1.8,0.7,-0.3,0.025,0.1369999999999999,0.168,0.43,0.091,2000, C,857000
116,Eric Montross,DET,28.0,213.36,122.46984,51,0.8,1.4,0.1,-4.6,0.062,0.19,0.111,0.332,0.032,2000, C,2000000
117,Eric Piatkowski,LAC,29.0,200.66,97.52228,75,8.7,3.0,1.1,-13.9,0.045,0.1,0.173,0.53,0.079,2000, SG,2000000
118,Eric Snow,PHI,27.0,190.5,92.532768,82,7.9,3.2,7.6,1.0,0.016,0.086,0.129,0.482,0.327,2000, PG,3000000
119,Eric Williams,BOS,27.0,203.2,99.79024,68,7.2,2.3,1.4,-2.9,0.044,0.089,0.166,0.531,0.105,2000, PF,3336000
120,Erick Dampier,GSW,24.0,210.82,120.20188,21,8.0,6.4,0.9,-10.1,0.093,0.182,0.19,0.427,0.064,2000, C,4988000
121,Ervin Johnson,MIL,32.0,210.82,111.13004,80,4.8,8.1,0.6,3.1,0.128,0.22,0.089,0.55,0.0279999999999999,2000, C,2951000
122,Gary Payton,SEA,31.0,193.04,81.64656,82,24.2,6.5,8.9,2.9,0.032,0.139,0.268,0.535,0.368,2000, PG,11020000
123,George Lynch,PHI,29.0,203.2,103.418976,75,9.6,7.8,1.8,2.6,0.0969999999999999,0.1689999999999999,0.154,0.498,0.089,2000, SF,2000000
124,Glenn Robinson,MIL,27.0,200.66,104.32616,81,20.9,6.0,2.4,1.8,0.043,0.149,0.273,0.534,0.1119999999999999,2000, SF,7250000
125,Grant Long,VAN,34.0,205.74,112.490816,42,4.8,5.6,1.0,-1.1,0.111,0.1969999999999999,0.123,0.512,0.076,2000, F,2000000
126,Anthony Peeler,MIN,30.0,193.04,94.347136,82,9.8,2.8,2.4,-1.4,0.032,0.099,0.186,0.52,0.152,2000, SG,2495000
127,Antoine Walker,BOS,23.0,205.74,111.13004,82,20.5,8.0,3.7,-0.2,0.071,0.18,0.283,0.494,0.178,2000, PF,9000000
128,Antonio McDyess,DEN,25.0,205.74,99.79024,81,19.1,8.5,2.0,-3.6,0.095,0.183,0.271,0.539,0.108,2000, PF,9900000
129,Baron Davis,CHH,21.0,190.5,95.25432,82,5.9,2.0,3.8,1.7,0.037,0.086,0.188,0.486,0.3339999999999999,2000, PG,2712000
130,Antawn Jamison,GSW,24.0,205.74,101.151016,43,19.6,8.3,2.1,-8.3,0.108,0.131,0.257,0.496,0.102,2000, PF,2503000
131,Al Harrington,IND,20.0,205.74,115.212368,50,6.6,3.2,0.8,6.0,0.066,0.151,0.201,0.524,0.073,2000, PF,745000
132,Alan Henderson,ATL,27.0,205.74,106.59412,82,13.2,7.0,0.9,-6.7,0.104,0.123,0.1939999999999999,0.503,0.045,2000, PF,5318000
133,Aleksandar Radojevic,TOR,23.0,220.98,111.13004,3,2.3,2.7,0.3,-22.1,0.061,0.231,0.228,0.363,0.077,2000, C,1325000
134,Allen Iverson,PHI,25.0,182.88,74.84268,70,28.4,3.8,4.7,1.2,0.027,0.078,0.3389999999999999,0.496,0.22,2000, SG,9000000
135,Alonzo Mourning,MIA,30.0,208.28,118.38751200000002,79,21.7,9.5,1.6,5.8,0.096,0.212,0.282,0.596,0.086,2000, C,15004000
136,Andre Miller,CLE,24.0,187.96,92.079176,82,11.1,3.4,5.8,-1.6,0.046,0.105,0.222,0.517,0.386,2000, PG,1682000
137,Anfernee Hardaway,PHX,28.0,200.66,97.52228,60,16.9,5.8,5.3,8.8,0.047,0.121,0.212,0.5489999999999999,0.23,2000, SF,9000000
138,Charlie Ward,NYK,29.0,187.96,86.18248,72,7.3,3.2,4.2,4.4,0.0139999999999999,0.1169999999999999,0.135,0.5589999999999999,0.2239999999999999,2000, PG,4540000
139,Chris Childs,NYK,32.0,190.5,88.45044,71,5.3,2.1,4.0,-0.8,0.012,0.092,0.14,0.491,0.284,2000, G,4160000
140,Chris Crawford,ATL,25.0,205.74,106.59412,55,4.6,1.8,0.6,-4.6,0.083,0.079,0.2,0.476,0.084,2000, SF,2000000
141,Chris Dudley,NYK,35.0,210.82,117.93392,47,1.2,2.9,0.1,-9.1,0.161,0.19,0.096,0.349,0.017,2000, C,7100000
142,Chris Mills,GSW,30.0,200.66,97.975872,20,16.1,6.2,2.4,-6.3,0.071,0.138,0.2289999999999999,0.489,0.121,2000, SF,4200000
143,Calbert Cheaney,BOS,28.0,200.66,97.52228,67,4.0,2.1,1.2,-3.7,0.019,0.109,0.1119999999999999,0.473,0.093,2000, SG,2000000
144,Bob Sura,CLE,27.0,195.58,90.7184,73,13.8,3.9,3.9,-3.6,0.025,0.12,0.208,0.545,0.215,2000, PG,3760000
145,Bonzi Wells,POR,23.0,195.58,95.25432,66,8.8,2.8,1.5,6.2,0.089,0.102,0.252,0.54,0.153,2000, SG,1428000
146,Brent Price,VAN,31.0,185.42,83.91452,41,3.4,0.9,1.7,-3.7,0.022,0.083,0.1939999999999999,0.518,0.271,2000, G,2944000
147,Brent Barry,SEA,28.0,198.12,88.45044,80,11.8,4.7,3.6,0.6,0.02,0.133,0.15,0.609,0.157,2000, SG,3960000
148,Cal Bowdler,ATL,23.0,208.28,111.13004,46,2.7,1.8,0.3,-13.0,0.055,0.1689999999999999,0.156,0.4629999999999999,0.0559999999999999,2000, F,1025000
149,Bryon Russell,UTA,29.0,200.66,102.0582,82,14.1,5.2,1.9,8.9,0.043,0.136,0.184,0.55,0.087,2000, SF,4000000
150,Brian Skinner,LAC,24.0,205.74,115.66596,33,5.4,6.1,0.3,-6.9,0.093,0.2,0.115,0.55,0.024,2000, PF,843000
151,Bryant Reeves,VAN,27.0,213.36,124.7378,69,8.9,5.7,1.2,-5.8,0.0819999999999999,0.179,0.193,0.481,0.075,2000, C,8666000
152,Mike Miller,ORL,21.0,203.2,98.883056,82,11.9,4.0,1.7,2.6,0.03,0.122,0.183,0.541,0.095,2001, SG,2320000
153,Mike Smith,WAS,25.0,203.2,88.45044,17,3.0,1.3,0.6,-8.5,0.061,0.084,0.177,0.386,0.093,2001, F,316000
154,Mikki Moore,DET,25.0,213.36,104.32616,81,4.4,3.9,0.4,-2.8,0.114,0.187,0.151,0.552,0.049,2001, C,2848000
155,Milt Palacio,BOS,23.0,190.5,88.45044,58,5.9,1.8,2.6,-0.8,0.024,0.08,0.155,0.556,0.2339999999999999,2001, PG,326000
156,Monty Williams,ORL,29.0,203.2,102.0582,82,5.0,3.0,1.0,-6.6,0.08,0.145,0.191,0.485,0.122,2001, SF,548000
157,Moochie Norris,HOU,27.0,185.42,79.3786,82,6.6,2.4,3.5,3.2,0.031,0.106,0.1689999999999999,0.546,0.284,2001, PG,523000
158,Olumide Oyedeji,SEA,20.0,208.28,108.86208,30,1.5,2.2,0.1,11.6,0.1369999999999999,0.2189999999999999,0.114,0.532,0.0139999999999999,2001, C,316000
159,Morris Peterson,TOR,23.0,200.66,98.883056,80,9.3,3.2,1.3,2.5,0.068,0.094,0.2019999999999999,0.507,0.093,2001, SG,898000
160,Muggsy Bogues,TOR,36.0,160.02,61.688512,3,0.0,1.0,1.7,-27.4,0.0,0.12,0.078,0.0,0.294,2001, G,1740000
161,Nazr Mohammed,ATL,23.0,208.28,108.86208,58,7.6,5.3,0.3,-2.0,0.135,0.233,0.23,0.52,0.034,2001, C,739000
162,Nick Van Exel,DEN,29.0,185.42,86.18248,71,17.7,3.4,8.5,-0.4,0.018,0.08,0.2339999999999999,0.515,0.3829999999999999,2001, PG,8184000
163,Olden Polynice,UTA,36.0,213.36,113.398,81,5.3,4.7,0.4,3.2,0.122,0.165,0.15,0.484,0.0289999999999999,2001, C,2200000
164,Othella Harrington,NYK,27.0,205.74,106.59412,74,9.0,5.2,0.8,-2.3,0.093,0.155,0.192,0.5489999999999999,0.052,2001, PF,2250000
